"Resource ID(s)","Resource type","Status","Contributed by","Keywords - Recognised","Original filename","Camera make / model","Color space","Dimensions","File size","File type","Providing country","Title","Credit","Upload Date","Expiry Date","Caption","Notes","Source","Rights","Creator","Heritage","Number of objects","Object Type"
137,"Object","Active","Peter Bubestinger","Metal,Coin,Currency,Money,Circle,Nickel,History,Monochrome photography,Monochrome,Money handling","00955001.jpg",,,"2918x3000","3.1 MB","JPEG","United States","Coin","The J. Paul Getty Museum","2016-11-08 14:20",,"Denarius; Unknown; Rome, Lazio, Italy; 59 B.C.; Silver; 0.0038 kg (0.0084 lb.); 78.NH.315.5",,,,"Unknown","Italian","Single","""Antiquities/Coins and Medals"""
135,"Object","Active","Peter Bubestinger","Artifact,Grey,Head,Coin,Currency,Money,Circle,Nickel,Font,Silver","02408601.jpg",,,"2982x3000","763 kB","JPEG","United States","Head","The J. Paul Getty Museum","2016-11-08 14:20",,"Denarius; Unknown; Rome, Lazio, Italy; 1st century B.C.; Silver; 0.0033 kg (0.0073 lb.); 80.NE.130.9",,,,"Unknown","Italian","Single","""Antiquities/Coins and Medals"""
134,"Object","Active","Peter Bubestinger","Grey,Head,Coin,Currency,Money,Circle,Nickel,Font,Money handling,Silver","02408701.jpg",,,"3000x2859","465 kB","JPEG","United States","Head","The J. Paul Getty Museum","2016-11-08 14:20",,"Denarius; Unknown; Rome, Lazio, Italy; 1st century B.C.; Silver; 0.004 kg (0.0088 lb.); 80.NE.130.10",,,,"Unknown","Italian","Single","""Antiquities/Coins and Medals"""
132,"Object","Active","Peter Bubestinger","Metal,Head,Coin,Currency,Money,Circle,Nickel,History,Font,Monochrome","02408901.jpg",,,"2932x3000","510 kB","JPEG","United States","Head","The J. Paul Getty Museum","2016-11-08 14:20",,"Denarius; Unknown; Rome, Lazio, Italy; 1st century B.C.; Silver; 0.0039 kg (0.0086 lb.); 80.NE.130.12",,,,"Unknown","Italian","Single","""Antiquities/Coins and Medals"""
130,"Object","Active","Peter Bubestinger","Art,Metal,Coin,Currency,Money,Circle,Nickel,Font,Fashion accessory,Emblem","02409101.jpg",,,"3000x2750","640 kB","JPEG","United States","Currency","The J. Paul Getty Museum","2016-11-08 14:20",,"Denarius; Unknown; Rome, Lazio, Italy; 1st century B.C.; Silver; 0.004 kg (0.0088 lb.); 80.NE.130.14",,,,"Unknown","Italian","Single","""Antiquities/Coins and Medals"""
129,"Object","Active","Peter Bubestinger","Metal,Head,Coin,Currency,Money,Circle,Nickel,Font,Eye,Event","02409201.jpg",,,"3000x2780","539 kB","JPEG","United States","Head","The J. Paul Getty Museum","2016-11-08 14:20",,"Denarius; Unknown; Rome, Lazio, Italy; 1st century B.C.; Silver; 0.004 kg (0.0088 lb.); 80.NE.130.15",,,,"Unknown","Italian","Single","""Antiquities/Coins and Medals"""
128,"Object","Active","Peter Bubestinger","Art,Artifact,Metal,Head,Coin,Currency,Money,Circle,Nickel,Font","02409301.jpg",,,"3000x2769","1796 kB","JPEG","United States","Head","The J. Paul Getty Museum","2016-11-08 14:20",,"Denarius; Unknown; Rome, Lazio, Italy; 1st century B.C.; Silver; 0.0038 kg (0.0084 lb.); 80.NE.130.16",,,,"Unknown","Italian","Single","""Sculpture"""
127,"Object","Active","Peter Bubestinger","Tree,Metal,Coin,Currency,Money,Circle,Nickel,Cash,Money handling,Plant","02409401.jpg",,,"2953x3000","1795 kB","JPEG","United States","Coin","The J. Paul Getty Museum","2016-11-08 14:20",,"Denarius; Unknown; Rome, Lazio, Italy; 1st century B.C.; Silver; 0.0039 kg (0.0086 lb.); 80.NE.130.17",,,,"Unknown","Italian","Single","""Sculpture"""
126,"Object","Active","Peter Bubestinger","Art,Artifact,Metal,Head,Coin,Currency,Money,Circle,Nickel,Font","02409501.jpg",,,"2759x3000","1750 kB","JPEG","United States","Head","The J. Paul Getty Museum","2016-11-08 14:20",,"Denarius; Unknown; Rome, Lazio, Italy; 1st century B.C.; Silver; 0.0036 kg (0.0079 lb.); 80.NE.130.18",,,,"Unknown","Italian","Single","""Sculpture"""
125,"Object","Active","Peter Bubestinger","Artifact,Metal,Coin,Currency,Money,Circle,Nickel,Cash,History,Money handling","02459401.jpg",,,"3000x2677","3.1 MB","JPEG","United States","Coin","The J. Paul Getty Museum","2016-11-08 14:20",,"Head of Augustus; Unknown; Roman Empire; about 30 B.C.; Silver; 80.NH.152.133",,,,"Unknown","Italian","Single","""Sculpture"""
120,"Object","Active","Peter Bubestinger","Artifact,Metal,Coin,Currency,Money,Circle,Fashion accessory,Rotifer,Macro photography,Rock","02459901.jpg",,,"3000x2742","4.4 MB","JPEG","United States","Artifact","The J. Paul Getty Museum","2016-11-08 14:20",,"Coin; Unknown; Alexandria, Egypt; about 98 - 117; Bronze; 80.NH.152.138",,,,"Unknown",,"Single","""Sculpture"""
118,"Object","Active","Peter Bubestinger","Art,Artifact,Metal,Coin,Currency,Circle,Nickel,Ancient history,History,Font,Button,Fashion accessory,Rim,Oval,Horse,Computed tomography","01224801.jpg",,,"2394x3000","509 kB","JPEG","United States","Automotive tire","The J. Paul Getty Museum","2016-11-08 14:20",,"Stater; Unknown; Taras, South Italy; 344 - 334 B.C.; Silver; 2.5 cm, 0.0078 kg (1 in., 0.0172 lb.); 82.NB.118.3",,,,"Unknown","Italian","Single","""Sculpture"""
117,"Object","Active","Peter Bubestinger","Art,Artifact,Metal,Coin,Currency,Money,Circle,Nickel,Cash,Font","02446501.jpg",,,"3000x2736","4.9 MB","JPEG","United States","Coin","The J. Paul Getty Museum","2016-11-08 14:20",,"Tripod and Stork; Unknown; Kroton, Bruttium, South Italy; about 500 - 450 B.C.; Silver; 1.3 cm (1/2 in.); 80.NH.152.4",,,,"Unknown","Italian","Single","""Sculpture"""
112,"Object","Active","Peter Bubestinger","Artifact,Metal,Bronze,Coin,Currency,Money,Circle,Nickel,Cash,Money handling","02438801.jpg",,,"2513x3000","1948 kB","JPEG","United States","Coin","The J. Paul Getty Museum","2016-11-08 14:20",,"Coin; Unknown; Constantinople, Asia Minor; 641 - 668; Gold; 80.NH.2.132",,,,"Unknown",,"Single","""Sculpture"""
91,"Object","Active","Peter Bubestinger","Artifact,Metal,Bronze,Antique,Coin,Currency,Money,Circle,Nickel,Cash","00145801.jpg",,,"2513x3000","2.9 MB","JPEG","United States","Coin","The J. Paul Getty Museum","2016-11-08 13:51",,"Ducat; Unknown; Italy; 16th century; Gold; 2.5 x 0.1 cm (1 x 1/16 in.); 93.NJ.53",,,"Public Domain","Unknown",,,
